Event,Division,game time,Date,Time,Field,Stage,Game Detail,Team,Country,Opponent,Opponent Country,Goals,Offence Time,Offence Goals,TOs,Spirit TOs,Rules,Fouls,Fair,Att,Comm,Total
2022-WJUC,U20-M,22-08-10 15:00,2022-08-10,15:00,,,,POL U20 Open,POL,GBR U20 Open,GBR,,,,,,2,3,2,2,3,12
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,BEL U20 Open,BEL,GBR U20 Open,GBR,,,,,,2,1,2,1,3,9
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,GER U20 Open,GER,GBR U20 Open,GBR,,,,,,1,1,1,2,2,7
2022-WJUC,U20-M,22-08-07 11:00,2022-08-07,11:00,,,,USA U20 Open,USA,GER U20 Open,GER,,,,,,2,2,3,3,2,12
2022-WJUC,U20-M,22-08-07 17:00,2022-08-07,17:00,,,,AUT U20 Open,AUT,GER U20 Open,GER,,,,,,2,3,3,3,3,14
2022-WJUC,U20-M,22-08-08 09:00,2022-08-08,09:00,,,,GBR U20 Open,GBR,GER U20 Open,GER,,,,,,1,2,2,2,2,9
2022-WJUC,U20-M,22-08-08 17:00,2022-08-08,17:00,,,,COL U20 Open,COL,GER U20 Open,GER,,,,,,2,2,2,1,2,9
2022-WJUC,U20-M,22-08-09 13:00,2022-08-09,13:00,,,,FRA U20 Open,FRA,GER U20 Open,GER,,,,,,2,2,3,2,2,11
2022-WJUC,U20-M,22-08-10 09:00,2022-08-10,09:00,,,,POL U20 Open,POL,GER U20 Open,GER,,,,,,2,3,2,2,2,11
2022-WJUC,U20-M,22-08-10 15:00,2022-08-10,15:00,,,,CZE U20 Open,CZE,GER U20 Open,GER,,,,,,2,3,3,2,2,12
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,AUT U20 Open,AUT,GER U20 Open,GER,,,,,,2,2,2,3,2,11
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,GBR U20 Open,GBR,GER U20 Open,GER,,,,,,1,2,1,1,2,7
2022-WJUC,U20-M,22-08-07 09:00,2022-08-07,09:00,,,,CZE U20 Open,CZE,ITA U20 Open,ITA,,,,,,2,3,2,2,2,11
2022-WJUC,U20-M,22-08-07 13:00,2022-08-07,13:00,,,,BEL U20 Open,BEL,ITA U20 Open,ITA,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-08 13:00,2022-08-08,13:00,,,,CAN U20 Open,CAN,ITA U20 Open,ITA,,,,,,2,3,3,4,3,15
2022-WJUC,U20-M,22-08-09 11:00,2022-08-09,11:00,,,,POL U20 Open,POL,ITA U20 Open,ITA,,,,,,1,1,3,3,2,10
2022-WJUC,U20-M,22-08-09 17:00,2022-08-09,17:00,,,,NZL U20 Open,NZL,ITA U20 Open,ITA,,,,,,1,2,2,3,2,10
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,USA U20 Open,USA,ITA U20 Open,ITA,,,,,,2,2,1,3,2,10
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,FRA U20 Open,FRA,ITA U20 Open,ITA,,,,,,2,2,2,2,3,11
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,COL U20 Open,COL,ITA U20 Open,ITA,,,,,,2,0,1,2,0,5
2022-WJUC,U20-M,22-08-12 11:00,2022-08-12,11:00,,,,USA U20 Open,USA,ITA U20 Open,ITA,,,,,,2,1,2,2,2,9
2022-WJUC,U20-M,22-08-12 17:00,2022-08-12,17:00,,,,CAN U20 Open,CAN,ITA U20 Open,ITA,,,,,,2,2,3,2,2,11
2022-WJUC,U20-M,22-08-07 09:00,2022-08-07,09:00,,,,CAN U20 Open,CAN,NZL U20 Open,NZL,,,,,,3,2,3,3,2,13
2022-WJUC,U20-M,22-08-07 13:00,2022-08-07,13:00,,,,POL U20 Open,POL,NZL U20 Open,NZL,,,,,,1,3,2,2,3,11
2022-WJUC,U20-M,22-08-08 13:00,2022-08-08,13:00,,,,BEL U20 Open,BEL,NZL U20 Open,NZL,,,,,,2,2,2,3,2,11
2022-WJUC,U20-M,22-08-09 11:00,2022-08-09,11:00,,,,CZE U20 Open,CZE,NZL U20 Open,NZL,,,,,,1,2,2,2,2,9
2022-WJUC,U20-M,22-08-09 17:00,2022-08-09,17:00,,,,ITA U20 Open,ITA,NZL U20 Open,NZL,,,,,,1,3,2,1,3,10
2022-WJUC,U20-M,22-08-10 13:00,2022-08-10,13:00,,,,AUT U20 Open,AUT,NZL U20 Open,NZL,,,,,,2,2,3,2,2,11
2022-WJUC,U20-M,22-08-11 09:00,2022-08-11,09:00,,,,COL U20 Open,COL,NZL U20 Open,NZL,,,,,,2,2,2,1,1,8
2022-WJUC,U20-M,22-08-11 15:00,2022-08-11,15:00,,,,FRA U20 Open,FRA,NZL U20 Open,NZL,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-12 13:00,2022-08-12,13:00,,,,COL U20 Open,COL,NZL U20 Open,NZL,,,,,,2,1,2,2,2,9
2022-WJUC,U20-M,22-08-07 09:00,2022-08-07,09:00,,,,BEL U20 Open,BEL,POL U20 Open,POL,,,,,,2,3,3,3,1,12
2022-WJUC,U20-M,22-08-07 13:00,2022-08-07,13:00,,,,NZL U20 Open,NZL,POL U20 Open,POL,,,,,,2,2,2,2,2,10
2022-WJUC,U20-M,22-08-08 13:00,2022-08-08,13:00,,,,CZE U20 Open,CZE,POL U20 Open,POL,,,,,,2,2,3,3,2,12
2022-WJUC,U20-M,22-08-09 11:00,2022-08-09,11:00,,,,ITA U20 Open,ITA,POL U20 Open,POL,,,,,,1,2,2,3,1,9
2022-WJUC,U20-M,22-08-09 17:00,2022-08-09,17:00,,,,CAN U20 Open,CAN,POL U20 Open,POL,,,,,,2,2,2,3,2,11
